[2026-02-24 21:19:52] User: user | Profile: default  False False False False False False False | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 06:50:40] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 06:51:54] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 07:04:01] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 07:05:53] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 07:08:22] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 07:21:34] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 08:03:07] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 09:39:35] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-26 09:42:18] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:15:58] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:17:44] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:20:02] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:22:26] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:23:36] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:26:53] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:28:35] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 08:58:30] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 09:09:59] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 09:28:28] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
[2026-02-28 09:33:31] User: user | Profile: default | Vars: JIRA_API_TOKEN=[HIDDEN], SERVICENOW_PASSWORD=[HIDDEN], GITHUB_TOKEN=[HIDDEN]
